date,opened_at,closed_at,ticker,strategy,direction,entry,tp_price,exit,qty,pnl,status,duration_min
2026-04-14,2026-04-14T08:59:00-05:00,2026-04-14T15:00:00-05:00,AAL,ORBState,long,12.1150,,12.1350,207,4.14,open_eod,361.0
2026-04-14,2026-04-14T09:03:00-05:00,2026-04-14T12:24:00-05:00,SNAP,ORBState,short,5.2400,,5.3700,477,-62.01,closed_no_tp,201.0
2026-04-14,2026-04-14T09:13:00-05:00,2026-04-14T15:00:00-05:00,SMCL,ORBState,long,2.3900,,2.3800,1059,-10.59,open_eod,347.0
2026-04-14,2026-04-14T09:21:00-05:00,2026-04-14T12:04:00-05:00,PLUG,ORBState,long,2.9500,,2.8850,847,-55.06,closed_no_tp,163.0
2026-04-14,2026-04-14T09:21:00-05:00,2026-04-14T15:00:00-05:00,TSLL,ORBState,long,11.3300,11.6500,11.5300,220,57.20,open_eod,339.0
2026-04-14,2026-04-14T10:16:00-05:00,2026-04-14T12:03:00-05:00,JBLU,BreakoutLongState,long,5.3300,5.4000,5.5200,469,61.03,closed_with_tp,107.0
2026-04-14,2026-04-14T13:19:00-05:00,2026-04-14T13:28:00-05:00,SNAL,BreakoutLongState,long,1.8750,2.0063,2.0063,655,85.97,closed_with_tp,9.0
2026-04-15,2026-04-15T08:41:00-05:00,2026-04-15T09:28:00-05:00,QBTS,ORBState,long,18.7950,20.1107,20.1107,133,174.98,closed_with_tp,47.0
2026-04-15,2026-04-15T08:41:00-05:00,2026-04-15T11:07:00-05:00,IONQ,ORBState,long,39.9700,42.7679,42.7679,63,176.27,closed_with_tp,146.0
2026-04-15,2026-04-15T08:41:00-05:00,2026-04-15T11:15:00-05:00,RGTI,ORBState,long,17.9900,19.2493,19.2493,139,175.04,closed_with_tp,154.0
2026-04-15,2026-04-15T08:42:00-05:00,2026-04-15T09:57:00-05:00,TSLL,ORBState,long,11.7200,12.5404,12.5404,213,174.75,closed_with_tp,75.0
2026-04-15,2026-04-15T08:44:00-05:00,2026-04-15T08:58:00-05:00,BMNU,ORBState,short,1.9800,,2.0600,1259,-100.72,closed_no_tp,14.0
2026-04-15,2026-04-15T08:44:00-05:00,2026-04-15T10:26:00-05:00,SNAP,ORBState,short,5.8500,,6.0950,425,-104.13,closed_no_tp,102.0
2026-04-15,2026-04-15T08:45:00-05:00,2026-04-15T09:00:00-05:00,BMNG,ORBState,short,1.3700,,1.4300,1811,-108.66,closed_no_tp,15.0
2026-04-15,2026-04-15T08:46:00-05:00,2026-04-15T09:58:00-05:00,TSLG,ORBState,long,5.7900,6.1953,6.1953,431,174.68,closed_with_tp,72.0
2026-04-15,2026-04-15T09:04:00-05:00,2026-04-15T15:00:00-05:00,WULF,ORBState,short,19.5000,,19.6900,127,-24.13,open_eod,356.0
2026-04-15,2026-04-15T09:11:00-05:00,2026-04-15T15:00:00-05:00,OWL,ORBState,long,9.7300,,9.9250,258,50.31,open_eod,349.0
2026-04-15,2026-04-15T10:02:00-05:00,2026-04-15T10:45:00-05:00,TSLL,BreakoutLongState,long,12.6550,12.7815,13.2934,197,75.61,closed_with_tp,43.0
2026-04-15,2026-04-15T10:14:00-05:00,2026-04-15T10:47:00-05:00,TSLG,BreakoutLongState,long,6.2700,6.3327,6.5473,400,68.00,closed_with_tp,33.0
2026-04-15,2026-04-15T14:06:00-05:00,2026-04-15T14:58:00-05:00,BMNU,BreakoutLongState,long,2.1400,2.1614,2.1886,1170,40.95,closed_with_tp,52.0
2026-04-16,2026-04-16T08:41:00-05:00,2026-04-16T15:00:00-05:00,INTC,ORBState,long,66.7700,,68.4800,37,63.27,open_eod,379.0
2026-04-16,2026-04-16T09:28:00-05:00,2026-04-16T09:34:00-05:00,ONFO,ORBState,long,1.7550,1.8779,1.8779,283,34.77,closed_with_tp,6.0
2026-04-16,2026-04-16T09:47:00-05:00,2026-04-16T15:00:00-05:00,AMDD,ORBState,short,6.7000,6.4900,6.4750,372,80.91,open_eod,313.0
2026-04-16,2026-04-16T10:24:00-05:00,2026-04-16T15:00:00-05:00,HIMS,ORBState,long,26.3450,,26.9800,95,60.33,open_eod,276.0
2026-04-17,2026-04-17T08:42:00-05:00,2026-04-17T09:04:00-05:00,TZA,ORBState,long,5.2100,,5.1600,480,-24.00,closed_no_tp,22.0
2026-04-17,2026-04-17T08:43:00-05:00,2026-04-17T11:10:00-05:00,CIFR,ORBState,short,17.0750,,18.0000,146,-135.05,closed_no_tp,147.0
2026-04-17,2026-04-17T08:45:00-05:00,2026-04-17T15:00:00-05:00,ERIC,ORBState,short,11.6500,,11.3800,214,57.78,open_eod,375.0
2026-04-17,2026-04-17T08:45:00-05:00,2026-04-17T15:00:00-05:00,COMP,ORBState,long,7.8500,8.0350,8.1350,318,74.73,open_eod,375.0
2026-04-17,2026-04-17T08:46:00-05:00,2026-04-17T10:12:00-05:00,BMNG,ORBState,long,1.6700,1.7300,1.6900,1515,60.58,closed_with_tp,86.0
2026-04-17,2026-04-17T08:47:00-05:00,2026-04-17T09:08:00-05:00,SOXS,ORBState,long,19.6900,,19.1850,127,-64.14,closed_no_tp,21.0
2026-04-17,2026-04-17T08:55:00-05:00,2026-04-17T10:17:00-05:00,AMC,ORBState,long,1.6800,1.7976,1.7976,1488,174.99,closed_with_tp,82.0
2026-04-17,2026-04-17T09:00:00-05:00,2026-04-17T09:12:00-05:00,RIG,BreakoutShortState,short,5.9600,,5.9900,419,-12.57,closed_no_tp,12.0
2026-04-17,2026-04-17T09:02:00-05:00,2026-04-17T13:12:00-05:00,DRIP,ORBState,long,5.4300,,5.2700,461,-73.76,closed_no_tp,250.0
2026-04-17,2026-04-17T09:11:00-05:00,2026-04-17T15:00:00-05:00,CCL,ORBState,long,29.9000,,29.2100,83,-57.27,open_eod,349.0
2026-04-17,2026-04-17T09:38:00-05:00,2026-04-17T12:24:00-05:00,TSLL,ORBState,long,13.7700,14.2800,13.9150,181,59.10,closed_with_tp,166.0
2026-04-17,2026-04-17T09:38:00-05:00,2026-04-17T12:26:00-05:00,TSLG,ORBState,long,6.8000,7.0600,6.8400,369,55.24,closed_with_tp,168.0
2026-04-17,2026-04-17T09:39:00-05:00,2026-04-17T10:00:00-05:00,TZA,BreakoutShortState,short,5.0450,,5.0700,495,-12.38,closed_no_tp,21.0
2026-04-17,2026-04-17T09:41:00-05:00,2026-04-17T15:00:00-05:00,SOXS,BreakoutShortState,short,19.1100,,18.8700,130,31.20,open_eod,319.0
2026-04-17,2026-04-17T09:58:00-05:00,2026-04-17T15:00:00-05:00,NFLX,ORBState,long,98.3900,,97.2800,25,-27.75,open_eod,302.0
2026-04-17,2026-04-17T13:24:00-05:00,2026-04-17T13:37:00-05:00,CIFR,BreakoutLongState,long,18.5750,,18.4800,134,-12.73,closed_no_tp,13.0
