Date,Time,Symbol,Side,Quantity,Price,Commission
2026-01-15,08:45:00,SOXS,S,1216,2.0500,0
2026-01-15,09:29:00,SOXS,B,1216,2.1050,0
2026-01-15,08:45:00,ONDS,S,187,13.3500,0
2026-01-15,12:41:00,ONDS,B,187,13.7450,0
2026-01-15,08:46:00,IBRX,B,512,3.4700,0
2026-01-15,10:54:00,IBRX,S,256,3.6088,0
2026-01-15,10:54:00,IBRX,S,256,3.6555,0
2026-01-16,08:41:00,SMCI,B,81,30.5750,0
2026-01-16,08:55:00,SMCI,S,40,31.7980,0
2026-01-16,08:55:00,SMCI,S,41,31.6442,0
2026-01-16,08:41:00,RIOT,B,138,18.2400,0
2026-01-16,12:41:00,RIOT,S,69,18.9696,0
2026-01-16,12:41:00,RIOT,S,69,18.8576,0
2026-01-16,08:44:00,NEXR,B,1142,1.4050,0
2026-01-16,08:44:00,NEXR,S,571,1.4612,0
2026-01-16,08:44:00,NEXR,S,571,1.4610,0
2026-01-16,08:49:00,ZSL,S,814,3.0600,0
2026-01-16,09:24:00,ZSL,B,814,3.1400,0
2026-01-16,08:51:00,ONDS,S,187,13.3550,0
2026-01-16,10:17:00,ONDS,B,93,12.8208,0
2026-01-16,10:17:00,ONDS,B,94,12.6516,0
2026-01-16,09:02:00,SMCI,B,78,31.9500,0
2026-01-16,09:30:00,SMCI,S,78,31.5500,0
2026-01-16,09:05:00,IBRX,B,370,4.9400,0
2026-01-16,09:17:00,IBRX,S,185,5.1376,0
2026-01-16,09:17:00,IBRX,S,185,5.1164,0
2026-01-16,09:20:00,NEXR,B,689,1.8400,0
2026-01-16,09:23:00,NEXR,S,344,1.9136,0
2026-01-16,09:23:00,NEXR,S,345,1.8504,0
2026-01-16,14:55:00,RIOT,B,129,19.2350,0
2026-01-16,15:00:00,RIOT,S,129,19.2250,0
2026-01-20,08:46:00,VOR,B,157,16.0100,0
2026-01-20,08:51:00,VOR,S,78,16.6504,0
2026-01-20,08:51:00,VOR,S,79,16.5299,0
2026-01-20,08:47:00,CRML,S,120,17.3100,0
2026-01-20,08:52:00,CRML,B,60,16.6176,0
2026-01-20,08:52:00,CRML,B,60,17.0248,0
2026-01-20,08:52:00,NEXA,B,206,12.1700,0
2026-01-20,15:00:00,NEXA,S,103,12.6568,0
2026-01-20,15:00:00,NEXA,S,103,12.6300,0
2026-01-20,08:54:00,BMEA,B,1838,1.3850,0
2026-01-20,15:00:00,BMEA,S,1838,1.3850,0
2026-01-20,08:56:00,BZAI,S,1165,2.1250,0
2026-01-20,15:00:00,BZAI,B,1165,2.0700,0
2026-01-20,08:56:00,ELDN,B,1136,2.2100,0
2026-01-20,15:00:00,ELDN,S,1136,2.2000,0
2026-01-20,09:02:00,PARR,S,68,36.5500,0
2026-01-20,15:00:00,PARR,B,68,36.8600,0
2026-01-20,09:04:00,MXL,B,129,19.3100,0
2026-01-20,13:31:00,MXL,S,129,18.9950,0
2026-01-20,09:05:00,FRMM,S,482,5.1500,0
2026-01-20,09:44:00,FRMM,B,482,5.2300,0
2026-01-20,09:05:00,IFRX,S,2604,0.9401,0
2026-01-20,10:36:00,IFRX,B,2604,0.9950,0
2026-01-20,09:22:00,LGN,B,51,48.7500,0
2026-01-20,13:30:00,LGN,S,51,47.7050,0
2026-01-20,09:30:00,VOR,B,145,17.2800,0
2026-01-20,09:42:00,VOR,S,72,17.9712,0
2026-01-20,09:42:00,VOR,S,73,18.0022,0
2026-01-20,09:31:00,IMSR,S,229,10.8750,0
2026-01-20,11:07:00,IMSR,B,229,11.1900,0
2026-01-20,09:39:00,CADL,B,393,6.3500,0
2026-01-20,13:15:00,CADL,S,393,6.0850,0
2026-01-20,09:39:00,GRPN,B,156,16.1650,0
2026-01-20,15:00:00,GRPN,S,156,16.2050,0
2026-01-20,09:49:00,GPRE,S,230,10.8300,0
2026-01-20,15:00:00,GPRE,B,230,11.1350,0
2026-01-20,09:57:00,ACHV,B,440,5.6800,0
2026-01-20,10:07:00,ACHV,S,440,5.6600,0
2026-01-20,10:00:00,IMAX,B,66,37.6900,0
2026-01-20,11:33:00,IMAX,S,66,37.3950,0
2026-01-20,10:41:00,LZM,B,425,5.9100,0
2026-01-20,15:00:00,LZM,S,425,5.6850,0
2026-01-20,12:55:00,EVTL,S,435,5.7400,0
2026-01-20,15:00:00,EVTL,B,435,5.7400,0
2026-01-20,12:58:00,SHMD,B,285,8.7550,0
2026-01-20,13:22:00,SHMD,S,142,9.1052,0
2026-01-20,13:22:00,SHMD,S,143,9.4011,0
2026-01-20,14:39:00,XNDU,S,224,11.1100,0
2026-01-20,15:00:00,XNDU,B,224,11.1200,0
2026-01-20,14:59:00,NNBR,B,1666,1.5000,0
2026-01-20,15:00:00,NNBR,S,1666,1.5000,0
2026-01-21,08:41:00,PBR,B,189,13.1850,0
2026-01-21,15:00:00,PBR,S,189,13.5200,0
2026-01-21,08:43:00,TE,S,303,8.2500,0
2026-01-21,08:49:00,TE,B,303,8.4650,0
2026-01-21,08:44:00,SOXS,S,1207,2.0650,0
2026-01-21,10:33:00,SOXS,B,603,1.9824,0
2026-01-21,10:33:00,SOXS,B,604,1.9607,0
2026-01-21,08:44:00,INTC,B,47,52.2500,0
2026-01-21,15:00:00,INTC,S,23,54.3400,0
2026-01-21,15:00:00,INTC,S,24,54.2500,0
2026-01-21,08:45:00,IBRX,B,384,6.2400,0
2026-01-21,09:24:00,IBRX,S,192,6.4896,0
2026-01-21,09:24:00,IBRX,S,192,6.4004,0
2026-01-21,08:46:00,NVD,S,326,7.6500,0
2026-01-21,10:28:00,NVD,B,163,7.3440,0
2026-01-21,10:28:00,NVD,B,163,7.3865,0
2026-01-21,08:48:00,UVIX,S,400,6.1800,0
2026-01-21,09:16:00,UVIX,B,200,5.9328,0
2026-01-21,09:16:00,UVIX,B,200,5.9775,0
2026-01-21,08:48:00,TZA,S,415,6.0000,0
2026-01-21,10:52:00,TZA,B,415,6.0600,0
2026-01-21,08:52:00,TSDD,S,290,8.6000,0
2026-01-21,11:13:00,TSDD,B,290,8.7000,0
2026-01-21,08:53:00,TSLG,B,307,8.1700,0
2026-01-21,14:06:00,TSLG,S,153,8.4968,0
2026-01-21,14:06:00,TSLG,S,154,8.6283,0
2026-01-21,09:51:00,UVIX,S,426,5.8650,0
2026-01-21,10:23:00,UVIX,B,426,5.9700,0
2026-01-21,13:43:00,TSDD,S,311,8.0100,0
2026-01-21,14:05:00,TSDD,B,311,8.0700,0
2026-01-21,14:00:00,NVD,S,348,7.1700,0
2026-01-21,14:07:00,NVD,B,348,7.2300,0
2026-01-21,14:09:00,SOXS,S,1302,1.9200,0
2026-01-21,14:21:00,SOXS,B,1302,1.9350,0
2026-01-22,08:42:00,CDE,B,102,24.4100,0
2026-01-22,09:25:00,CDE,S,51,25.3864,0
2026-01-22,09:25:00,CDE,S,51,25.1809,0
2026-01-22,08:42:00,HBAN,S,139,17.9000,0
2026-01-22,15:00:00,HBAN,B,139,17.6600,0
2026-01-22,08:44:00,PLUG,B,1052,2.3900,0
2026-01-22,08:58:00,PLUG,S,526,2.4856,0
2026-01-22,08:58:00,PLUG,S,526,2.4811,0
2026-01-22,08:55:00,DUST,S,489,5.0900,0
2026-01-22,10:32:00,DUST,B,244,4.8864,0
2026-01-22,10:32:00,DUST,B,245,4.8809,0
2026-01-22,08:55:00,TSDD,S,308,8.0900,0
2026-01-22,12:28:00,TSDD,B,154,7.7664,0
2026-01-22,12:28:00,TSDD,B,154,7.6959,0
2026-01-22,08:56:00,JDST,S,1420,1.7500,0
2026-01-22,10:31:00,JDST,B,710,1.6800,0
2026-01-22,10:31:00,JDST,B,710,1.6475,0
2026-01-22,09:09:00,ZSL,B,909,2.7500,0
2026-01-22,09:26:00,ZSL,S,909,2.7100,0
2026-01-22,09:09:00,PLUG,B,998,2.5050,0
2026-01-22,09:36:00,PLUG,S,998,2.4500,0
2026-01-22,09:21:00,TSLG,B,290,8.6400,0
2026-01-22,12:26:00,TSLG,S,145,8.9856,0
2026-01-22,12:26:00,TSLG,S,145,9.0236,0
2026-01-22,09:23:00,BTG,B,480,5.2100,0
2026-01-22,15:00:00,BTG,S,480,5.2000,0
2026-01-23,08:44:00,SLV,B,27,90.3700,0
2026-01-23,08:59:00,SLV,S,27,89.9300,0
2026-01-23,08:50:00,TZA,B,428,5.8500,0
2026-01-23,15:00:00,TZA,S,428,6.0300,0
2026-01-23,08:52:00,INTC,S,54,45.9200,0
2026-01-23,15:00:00,INTC,B,54,45.0650,0
2026-01-23,09:11:00,ZSL,S,1043,2.3950,0
2026-01-23,15:00:00,ZSL,B,521,2.2992,0
2026-01-23,15:00:00,ZSL,B,522,2.2500,0
2026-01-26,08:41:00,USAR,S,83,29.9200,0
2026-01-26,08:49:00,USAR,B,41,28.7232,0
2026-01-26,08:49:00,USAR,B,42,28.8492,0
2026-01-26,08:41:00,INTC,S,57,43.1550,0
2026-01-26,15:00:00,INTC,B,57,42.4850,0
2026-01-26,08:42:00,DNN,B,621,4.0250,0
2026-01-26,09:10:00,DNN,S,621,3.9050,0
2026-01-26,08:42:00,TSLG,S,285,8.7300,0
2026-01-26,15:00:00,TSLG,B,285,8.5800,0
2026-01-26,08:49:00,PSLV,B,69,36.0300,0
2026-01-26,11:25:00,PSLV,S,34,37.4712,0
2026-01-26,11:25:00,PSLV,S,35,37.2147,0
2026-01-26,08:50:00,SLV,B,24,100.2450,0
2026-01-26,11:24:00,SLV,S,12,104.2548,0
2026-01-26,11:24:00,SLV,S,12,103.8175,0
2026-01-26,08:53:00,ZSL,S,1302,1.9000,0
2026-01-26,10:01:00,ZSL,B,651,1.8240,0
2026-01-26,10:01:00,ZSL,B,651,1.8340,0
2026-01-26,10:17:00,DNN,S,657,3.8000,0
2026-01-26,10:52:00,DNN,B,657,3.8350,0
2026-01-26,10:17:00,PLUG,S,1057,2.3650,0
2026-01-26,14:24:00,PLUG,B,528,2.2704,0
2026-01-26,14:24:00,PLUG,B,529,2.2936,0
2026-01-27,08:40:00,AAL,S,179,13.9450,0
2026-01-27,08:50:00,AAL,B,179,14.1600,0
2026-01-27,08:41:00,PINS,S,102,24.1850,0
2026-01-27,15:00:00,PINS,B,102,23.4000,0
2026-01-27,08:43:00,WULF,B,174,14.3300,0
2026-01-27,10:35:00,WULF,S,87,14.9032,0
2026-01-27,10:35:00,WULF,S,87,14.8717,0
2026-01-27,08:44:00,ZSL,S,1362,1.8250,0
2026-01-27,08:50:00,ZSL,B,1362,1.8850,0
2026-01-27,08:45:00,CVS,S,33,75.0000,0
2026-01-27,08:58:00,CVS,B,33,75.6000,0
2026-01-27,08:48:00,SOXS,S,1275,1.9600,0
2026-01-27,15:00:00,SOXS,B,1275,1.9100,0
2026-01-27,09:06:00,RR,B,570,4.4650,0
2026-01-27,09:36:00,RR,S,285,4.6436,0
2026-01-27,09:36:00,RR,S,285,4.5830,0
2026-01-27,09:10:00,BBAI,B,430,5.8200,0
2026-01-27,12:07:00,BBAI,S,215,6.0528,0
2026-01-27,12:07:00,BBAI,S,215,6.0368,0
2026-01-27,09:57:00,RR,B,524,4.7750,0
2026-01-27,10:24:00,RR,S,262,4.9660,0
2026-01-27,10:24:00,RR,S,262,5.0175,0
2026-01-27,13:20:00,BBAI,B,407,6.1300,0
2026-01-27,15:00:00,BBAI,S,407,6.1600,0
2026-01-27,14:12:00,WULF,B,162,15.3900,0
2026-01-27,14:26:00,WULF,S,162,15.2750,0
2026-01-27,14:59:00,ZSL,S,1461,1.7100,0
2026-01-27,15:00:00,ZSL,B,1461,1.7250,0
2026-01-28,08:41:00,SOXS,S,1420,1.7550,0
2026-01-28,08:59:00,SOXS,B,1420,1.8000,0
2026-01-28,08:41:00,RR,S,506,4.6750,0
2026-01-28,13:12:00,RR,B,506,5.1400,0
2026-01-28,08:42:00,DUST,S,577,4.3300,0
2026-01-28,12:54:00,DUST,B,577,4.4850,0
2026-01-28,08:42:00,INTC,B,51,48.7000,0
2026-01-28,15:00:00,INTC,S,51,48.7500,0
2026-01-28,08:43:00,DNN,B,618,4.0450,0
2026-01-28,12:52:00,DNN,S,309,4.2068,0
2026-01-28,12:52:00,DNN,S,309,4.1795,0
2026-01-28,08:51:00,FEED,S,645,1.6300,0
2026-01-28,08:54:00,FEED,B,322,1.5648,0
2026-01-28,08:54:00,FEED,B,323,1.6300,0
2026-01-28,09:01:00,ZSL,S,1562,1.6000,0
2026-01-28,09:07:00,ZSL,B,1562,1.6300,0
2026-01-28,09:41:00,PLTD,B,348,7.1800,0
2026-01-28,15:00:00,PLTD,S,348,7.3900,0
2026-01-28,10:01:00,FEED,B,1141,2.2000,0
2026-01-28,10:01:00,FEED,S,570,2.2880,0
2026-01-28,10:01:00,FEED,S,571,2.2000,0
2026-01-28,13:26:00,DNN,B,591,4.2300,0
2026-01-28,13:29:00,DNN,S,591,4.2200,0
2026-01-29,08:41:00,NOK,B,389,6.4350,0
2026-01-29,09:01:00,NOK,S,389,6.1800,0
2026-01-29,08:41:00,TSLG,S,304,8.2000,0
2026-01-29,09:58:00,TSLG,B,152,7.8720,0
2026-01-29,09:58:00,TSLG,B,152,7.8520,0
2026-01-29,08:41:00,ETHA,S,113,21.9300,0
2026-01-29,12:40:00,ETHA,B,56,21.0528,0
2026-01-29,12:40:00,ETHA,B,57,21.1393,0
2026-01-29,08:41:00,NCLH,B,111,22.4600,0
2026-01-29,15:00:00,NCLH,S,111,22.9300,0
2026-01-29,08:41:00,CCL,B,80,31.0500,0
2026-01-29,15:00:00,CCL,S,80,31.1300,0
2026-01-29,08:42:00,RR,S,465,4.6100,0
2026-01-29,09:15:00,RR,B,232,4.4256,0
2026-01-29,09:15:00,RR,B,233,4.4711,0
2026-01-29,08:42:00,SNAP,S,336,7.4350,0
2026-01-29,15:00:00,SNAP,B,336,7.2350,0
2026-01-29,08:46:00,MSTX,S,684,3.6500,0
2026-01-29,09:18:00,MSTX,B,342,3.5040,0
2026-01-29,09:18:00,MSTX,B,342,3.3934,0
2026-01-29,08:46:00,DUST,B,586,4.2850,0
2026-01-29,09:21:00,DUST,S,293,4.4564,0
2026-01-29,09:21:00,DUST,S,293,4.5222,0
2026-01-29,08:49:00,JDST,B,1677,1.4900,0
2026-01-29,09:21:00,JDST,S,838,1.5496,0
2026-01-29,09:21:00,JDST,S,839,1.5851,0
2026-01-29,08:52:00,IBIT,S,50,49.5400,0
2026-01-29,13:33:00,IBIT,B,25,47.5584,0
2026-01-29,13:33:00,IBIT,B,25,47.6154,0
2026-01-29,08:53:00,JOBY,B,220,11.3500,0
2026-01-29,09:08:00,JOBY,S,220,11.1050,0
2026-01-29,08:53:00,BITO,S,206,12.0900,0
2026-01-29,14:50:00,BITO,B,103,11.6064,0
2026-01-29,14:50:00,BITO,B,103,11.6459,0
2026-01-29,08:53:00,MSFT,S,5,429.2000,0
2026-01-29,15:00:00,MSFT,B,5,433.1200,0
2026-01-29,08:54:00,ONDS,S,210,11.8500,0
2026-01-29,09:56:00,ONDS,B,105,11.3760,0
2026-01-29,09:56:00,ONDS,B,105,11.2859,0
2026-01-29,09:08:00,BTCZ,B,598,4.1900,0
2026-01-29,09:55:00,BTCZ,S,299,4.3576,0
2026-01-29,09:55:00,BTCZ,S,299,4.3181,0
2026-01-29,09:13:00,NOK,S,406,6.1500,0
2026-01-29,09:24:00,NOK,B,406,6.1850,0
2026-01-29,09:26:00,MSTX,S,746,3.3500,0
2026-01-29,09:55:00,MSTX,B,373,3.2160,0
2026-01-29,09:55:00,MSTX,B,373,3.1798,0
2026-01-29,09:36:00,JDST,B,1506,1.6600,0
2026-01-29,10:11:00,JDST,S,1506,1.6300,0
2026-01-29,10:02:00,RR,S,588,4.2500,0
2026-01-29,10:11:00,RR,B,588,4.3100,0
2026-01-29,10:32:00,BTCZ,B,573,4.3600,0
2026-01-29,10:55:00,BTCZ,S,573,4.3200,0
2026-01-29,14:29:00,ONDS,S,224,11.1400,0
2026-01-29,14:39:00,ONDS,B,224,11.1900,0
2026-01-30,08:41:00,U,S,66,37.3200,0
2026-01-30,09:09:00,U,B,33,35.8272,0
2026-01-30,09:09:00,U,B,33,34.5032,0
2026-01-30,08:41:00,SOFI,S,104,23.8750,0
2026-01-30,11:11:00,SOFI,B,52,22.9200,0
2026-01-30,11:11:00,SOFI,B,52,23.0487,0
2026-01-30,08:41:00,FCX,S,40,61.2800,0
2026-01-30,12:47:00,FCX,B,20,58.8288,0
2026-01-30,12:47:00,FCX,B,20,59.2928,0
2026-01-30,08:42:00,DNN,B,598,4.1800,0
2026-01-30,11:17:00,DNN,S,598,4.0850,0
2026-01-30,08:42:00,BBAI,S,463,5.3850,0
2026-01-30,12:51:00,BBAI,B,231,5.1696,0
2026-01-30,12:51:00,BBAI,B,232,5.1538,0
2026-01-30,08:43:00,VALE,B,150,16.6500,0
2026-01-30,10:53:00,VALE,S,150,16.4250,0
2026-01-30,08:45:00,RKT,S,139,17.9100,0
2026-01-30,10:02:00,RKT,B,69,17.1936,0
2026-01-30,10:02:00,RKT,B,70,17.3984,0
2026-01-30,08:46:00,ZSL,S,1228,2.0350,0
2026-01-30,09:01:00,ZSL,B,1228,2.1050,0
2026-01-30,08:46:00,SLV,B,27,91.4800,0
